KBinMemory,ArraySize,SearchRepetitions,StartTime,PopulateTime,SearchTime,TotalTime
1024,131072,110000000,1734629373299,7,1777,1784
10240,1310720,110000000,1734629375227,15,5938,5953
20480,2621440,110000000,1734629381341,31,7182,7213
30720,3932160,110000000,1734629388750,42,7070,7112
40960,5242880,110000000,1734629396071,47,7125,7172
51200,6553600,110000000,1734629403422,79,7249,7328
61440,7864320,110000000,1734629410940,93,7219,7312
71680,9175040,110000000,1734629418532,93,7219,7312
81920,10485760,110000000,1734629426021,125,7328,7453
92160,11796480,110000000,1734629433671,109,7359,7468
102400,13107200,110000000,1734629441338,125,7484,7609
204800,26214400,110000000,1734629449230,266,7609,7875
307200,39321600,110000000,1734629457413,375,7687,8062
409600,52428800,110000000,1734629465826,547,8015,8562
512000,65536000,110000000,1734629474743,641,8109,8750
614400,78643200,110000000,1734629483905,750,8219,8969
716800,91750400,110000000,1734629493353,906,8484,9390
819200,104857600,110000000,1734629503283,1031,9062,10093
921600,117964800,110000000,1734629513933,1141,8952,10093
1048576,134217728,110000000,1734629524708,1250,9516,10766
