NumThreads,NumeroMaximo,StartTime,ElapsedTime,MeanUtilization
2,110000,1734612297680,7245,0.3294800325292862
4,110000,1734612305181,4659,0.5698660231912005
6,1000000,1734615291573,315303,0.7879786389341878
6,10000,1734614349369,63,
6,110000,1734612314463,3598,0.8123489354883686
6,20000,1734614350145,172,
6,30000,1734614350854,328,
6,100000,1734614361805,3230,0.7946066354111122
6,200000,1734614368687,12419,0.7801596724238719
6,60000,1734614353337,1235,0.7695825810998941
6,70000,1734614354771,1622,0.7737264756903746
6,600000,1734614550118,126244,0.8501646229568012
6,400000,1734614410374,53838,0.8534280976322768
6,50000,1734614352288,856,0.7802277683547371
6,40000,1734614351555,540,0.7579413937453829
6,300000,1734614381293,28883,0.8128640779348618
6,500000,1734614464417,85071,0.8479231984076943
6,80000,1734614356589,2117,0.7767948123889633
6,90000,1734614358912,2698,0.8128284530106296
6,700000,1734614676656,154851,0.7788438299422278
6,900000,1734615033018,258341,0.8398293669813145
6,800000,1734614831712,201099,0.8112747370992835
8,110000,1734612318264,3638,1.0
10,110000,1734612322097,3704,1.0
12,110000,1734612325997,3618,0.9989761965702584
14,110000,1734612329813,3642,0.9990588949605343
16,110000,1734612333651,3632,0.9983411475670428
18,110000,1734612337496,3646,0.9989062072737216
20,110000,1734612341378,3629,0.9929012062795556
22,110000,1734612345210,3678,0.9770199965024272
24,110000,1734612349083,3667,0.9979399731021814
26,110000,1734612353012,3686,0.9966436560494536
28,110000,1734612356950,3602,0.9967404856614754
30,110000,1734612360760,3644,0.9923038728897716
32,110000,1734612364611,3632,0.9889877871418624
34,110000,1734612368466,3596,0.9975247264653904
36,70000,1734615612626,1570,0.9969896519285042
36,110000,1734612372276,3620,0.9856353875665562
36,10000,1734615607122,82,
36,100000,1734615619338,3054,0.999029950284952
36,1000000,1734616471237,295407,0.995336186918873
36,600000,1734615787862,107040,0.9983237578080868
36,30000,1734615608556,304,
36,200000,1734615625838,12100,0.9990784866005992
36,20000,1734615607838,151,
36,50000,1734615610100,801,1.0
36,300000,1734615638171,27030,0.990884314091408
36,400000,1734615665473,47757,0.9912132523899144
36,90000,1734615616656,2484,0.9929348016428818
36,900000,1734616231373,239610,0.9980523562069415
36,500000,1734615713484,74153,0.9978663084356554
36,60000,1734615611110,1195,0.9735722523817424
36,40000,1734615609273,530,1.0
36,80000,1734615614389,2022,0.9969285897107756
36,800000,1734616040814,190335,0.988979559973788
36,700000,1734615895145,145427,0.999324241628427
38,110000,1734612376093,3640,0.9992522432701896
40,110000,1734612379927,3683,0.9761381680010076
