NumThreads,NumeroMaximo,StartTime,ElapsedTime,MeanUtilization
2,110000,1734442750956,12720,0.2536551549805383
4,110000,1734442137765,6839,0.5073994075799293
6,110000,1734442771312,6364,0.7511376094646971
8,110000,1734442790565,5861,0.9934002119420722
10,110000,1734442804845,6020,0.979317406554086
12,110000,1734442816920,5913,0.9855291233839129
14,110000,1734442830121,5770,0.9916417461324312
16,110000,1734442841349,5685,0.9925548009466936
18,110000,1734442853539,5415,0.9930638109961571
20,100000,1734545026674,4600,1.0
20,20000,1734544980405,222,
20,110000,1734442864449,5378,0.9877237401833712
20,660000,1734542895987,220237,0.9964912015604456
20,880000,1734543428850,363635,0.999952063549162
20,60000,1734544997475,1751,1.0
20,50000,1734544993267,1157,1.0
20,770000,1734543142229,272257,0.9988815342250924
20,330000,1734536988521,50940,0.9999271063675852
20,440000,1734537059080,89337,0.9997639031737968
20,40000,1734544988515,784,1.0
20,550000,1734537159265,143509,0.9975827204798026
20,10000,1734544974777,68,
20,220000,1734536956693,23040,0.9950073292608316
20,80000,1734545009540,2920,1.0
20,990000,1734543845683,450787,0.9999446985394188
20,1100000,1734544340869,560941,0.999928776522911
20,70000,1734545003282,2283,0.9991769547325102
20,30000,1734544984802,444,
20,90000,1734545016852,3782,1.0
22,110000,1734528309501,5668,0.9991749174917492
24,110000,1734528323865,5614,0.9995884773662552
26,110000,1734528336836,5456,0.9997919267582188
28,110000,1734528351940,5485,1.0
30,110000,1734528365139,5355,0.999591503267974
32,110000,1734528376536,5293,1.0
34,110000,1734528389443,5454,0.9997924449979244
36,110000,1734528399290,5311,1.0
38,110000,1734528411370,5251,1.0
40,110000,1734528422339,5218,1.0
